"Rank","Gene","p_value"
924,"ZNF676",2.14379413617563e-07
925,"EXT2",2.15649646932034e-07
926,"FYCO1",2.15724824385489e-07
927,"GPSM2",2.16950921335127e-07
928,"SOCS6",2.19229470522699e-07
929,"FBXL13",2.22331316457816e-07
930,"PACS1",2.232522675849e-07
931,"ENSG00000276768",2.25069012673654e-07
932,"PPP1R8P1",2.25916876041448e-07
933,"CACNA2D2",2.27119516375487e-07
934,"CXXC4",2.27270086368717e-07
935,"SRP54-AS1",2.29827580837037e-07
936,"ENSG00000280424",2.30374404150318e-07
937,"ENSG00000253190",2.31340088015882e-07
938,"OPA3",2.31416263244713e-07
939,"COQ10B",2.31586012734888e-07
940,"PNMA2",2.31676625924584e-07
941,"CYFIP1",2.33116293154219e-07
942,"ENSG00000277087",2.3315775260897e-07
943,"HMSD",2.34280409300625e-07
944,"ENSG00000270426",2.34483330079373e-07
945,"ENSG00000273374",2.36177844342886e-07
946,"IRF2BPL",2.36345715486222e-07
947,"DESI2",2.36819136262838e-07
948,"ATP6AP2",2.36923019980633e-07
949,"PSMC2",2.39088824811907e-07
950,"TET3",2.41515848010206e-07
951,"PRSS35",2.44314297681021e-07
952,"ENSG00000286449",2.44565567230229e-07
953,"CLIP3",2.4538610491928e-07
954,"FAM221A",2.47490261451907e-07
955,"FERMT2",2.50825660529367e-07
956,"ITGA2B",2.51867849977897e-07
957,"RAP2B",2.52256278908121e-07
