"Rank","Gene","p_value"
588,"NLE1",2.02962146458003e-05
589,"DIRAS2",2.0417059905746e-05
590,"PCDH10",2.05062309439053e-05
591,"KCNAB1",2.06016753313425e-05
592,"RASGRF2",2.06532240664489e-05
593,"SVOP",2.07090001506521e-05
594,"DRD3",2.08473299583204e-05
595,"SLC7A14",2.08604275089147e-05
596,"ENSG00000278342",2.09395696847479e-05
597,"FGD5P1",2.09961734586124e-05
598,"ENSG00000286285",2.10168866938646e-05
599,"METTL9",2.13887615293451e-05
600,"BTBD3",2.14271319925647e-05
601,"ANKRD18EP",2.14834370629084e-05
602,"LINC00460",2.16404083659417e-05
603,"EPHA3",2.16436766665008e-05
604,"VIP",2.19788814910864e-05
605,"TPD52L1",2.1983927083647e-05
606,"HIF3A",2.19867063916254e-05
607,"IRAG1",2.20539034637486e-05
608,"RIMS4",2.2060450204056e-05
609,"ENSG00000248559",2.20624043708422e-05
610,"ACSL4",2.24478802067237e-05
611,"LINC00672",2.29495439645418e-05
612,"ENSG00000254906",2.36226636444077e-05
613,"CDC42SE2",2.38357592675515e-05
614,"TRH",2.39345929021529e-05
615,"SYT11",2.40982648645691e-05
616,"CASK",2.4200868845769e-05
617,"PLAAT4",2.43416740115146e-05
618,"DLX6-AS1",2.43650299830843e-05
619,"PLCL2",2.45515982094592e-05
620,"RAP1GDS1",2.46834813771277e-05
621,"ANKRD18B",2.48569118421459e-05
622,"ENSG00000224376",2.50127374553979e-05
623,"CACNG2",2.50267885153432e-05
624,"DCK",2.50329378376909e-05
625,"BCL11A",2.51084541107341e-05
626,"LGI4",2.51377515381231e-05
627,"ENSG00000286760",2.52745403028735e-05
628,"ENSG00000264475",2.52897869467759e-05
629,"CREG2",2.53248956863009e-05
630,"TMEM151B",2.54316470953137e-05
631,"MARCHF1",2.54869196546346e-05
632,"ENSG00000227958",2.55951587470338e-05
633,"ENSG00000286403",2.56350227042553e-05
634,"MAZ",2.5673795268831e-05
635,"REPIN1-AS1",2.57650025499657e-05
636,"DLEU7",2.58503787407372e-05
637,"NNT",2.59594389063302e-05
638,"DLG4",2.59712244468482e-05
639,"SHANK1",2.61581146496264e-05
640,"IGFBPL1",2.61924004331928e-05
641,"TMEM178B",2.62436420733179e-05
642,"OR3A2",2.63094046703034e-05
643,"HMGCS1",2.63926598737799e-05
644,"ENSG00000226816",2.64758368664291e-05
645,"PLPPR5",2.66337689311422e-05
646,"ENSG00000287727",2.67831256966585e-05
647,"TIMM17A",2.6821724665246e-05
648,"MUC1",2.69125638339829e-05
649,"TENM3",2.69726553323338e-05
650,"ARRB1",2.70303144570849e-05
651,"AKAP11",2.71095563607577e-05
652,"ENSG00000251152",2.71558326629568e-05
653,"GLCE",2.72467020736119e-05
654,"LINC02762",2.7356585583385e-05
655,"CYRIA",2.7408275575916e-05
656,"ZFP91",2.74507607155198e-05
657,"NOS1",2.74988192951952e-05
658,"BEND6",2.75609219968552e-05
659,"NETO1",2.77964897073551e-05
660,"B3GNT2",2.83392595460976e-05
661,"PAFAH1B2P2",2.84973968121267e-05
662,"AIRN",2.86697193757381e-05
663,"ENSG00000289574",2.8733324408255e-05
664,"PCDHA11",2.87543972447656e-05
665,"ENSG00000229312",2.91386578711624e-05
